Units,Values
Gigatonne,1000000000000
Megatonne,1000000000
Tonne,1000
Kilogram,1
Gram,0.001
Milligram,0.000001
Microgram,0.000000001
Nanogram,0.000000000001
Picogram,0.000000000000001
US ton,907
UK ton,1016
Pound,0.45359
Ounce,0.02835
